Band,Count,Concerts
Ten56.,1,"         Date                                              Bands     City          Venue
0  17/06/2023  Hierophant;The Dali Thundering Concept;Kalandr...  Clisson  Hellfest 2023"
Sepultura,1,"         Date                                              Bands                       City                Venue
0  05/08/2023  Buy Jupiter;Beyond The Styx;The Real McKenzies...  Saint-Maurice-De-Gourdans  Sylak Open Air 2023"
Sick Of It All,1,"         Date                                              Bands                       City                Venue
0  04/08/2019  Lodz;Insanity Alert;Nostromo;Ihsahn;Sick Of It...  Saint-Maurice-De-Gourdans  Sylak Open Air 2019"
Silent Planet,1,"         Date                                     Bands  City       Venue
0  14/03/2024  Polaris;Silent Planet;Thornhill;Paledusk  Lyon  La Rayonne"
Slipknot,1,"         Date                                              Bands     City          Venue
0  18/06/2023  Slipknot;Pantera;Tenacious D;Amon Amarth;Incub...  Clisson  Hellfest 2023"
Slow Crush,1,"         Date                             Bands           City   Venue
0  22/10/2023  Cult Of Luna;GGGOLDDD;Slow Crush  Saint-Etienne  Le Fil"
Mad Sin,1,"         Date                                              Bands                       City                Venue
0  07/08/2022  Dukkha;Heart Attack;Moscow Death Brigade;Hangm...  Saint-Maurice-De-Gourdans  Sylak Open Air 2022"
Smash Hit Combo,1,"         Date                                              Bands                City              Venue
0  06/07/2024  Bakü;Animalize;Ashen;Hanabie.;Smash Hit Combo;...  Colombier-Saugnieu  Plane'R Fest 2024"
Soilwork,1,"         Date                                              Bands                       City                Venue
0  03/08/2019  Yoda Rising;Hate;Monkey3;Eyehategod;Soilwork;D...  Saint-Maurice-De-Gourdans  Sylak Open Air 2019"
Solstafir,1,"         Date                                              Bands                       City                Venue
0  05/08/2023  Buy Jupiter;Beyond The Styx;The Real McKenzies...  Saint-Maurice-De-Gourdans  Sylak Open Air 2023"
Soulfly,1,"         Date                                              Bands                       City                Venue
0  06/08/2023  Drive North;Eight Sins;Leng T'che;Church Of Mi...  Saint-Maurice-De-Gourdans  Sylak Open Air 2023"
Stellar Circuits,1,"         Date                                       Bands  City       Venue
0  18/02/2024  Persefone;Hypno5e;LAMPR3A;Stellar Circuits  Lyon  Rock N Eat"
Stömb,1,"         Date                                        Bands        City        Venue
0  25/11/2023  Novelists;Stömb;The Dali Thundering Concept  Guyancourt  La Batterie"
